Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2022-03-18,Barbell Squat,Legs,20.0,8,,,,""
2022-03-18,Barbell Squat,Legs,20.0,8,,,,""
2022-03-18,Barbell Squat,Legs,40.0,8,,,,""
2022-03-18,Barbell Squat,Legs,50.0,8,,,,""
2022-03-18,Barbell Squat,Legs,60.0,8,,,,""
2022-03-18,Overhead Press,Shoulders,20.0,8,,,,""
2022-03-18,Overhead Press,Shoulders,20.0,8,,,,""
2022-03-18,Overhead Press,Shoulders,30.0,8,,,,""
2022-03-18,Overhead Press,Shoulders,30.0,8,,,,""
2022-03-18,Overhead Press,Shoulders,30.0,8,,,,""
2022-03-18,Overhead Press,Shoulders,35.0,5,,,,""
2022-03-18,Overhead Press,Shoulders,40.0,3,,,,""
2022-03-18,Pull Up,Back,0.0,8,,,,""
2022-03-18,Pull Up,Back,0.0,5,,,,""
2022-03-18,Underhand Barbell Rows,Back,20.0,12,,,,""
2022-03-18,Underhand Barbell Rows,Back,40.0,12,,,,""
2022-03-18,Underhand Barbell Rows,Back,40.0,12,,,,""
2022-03-19,Lat Pulldown,Back,30.0,12,,,,""
2022-03-19,Lat Pulldown,Back,30.0,12,,,,""
2022-03-19,Lat Pulldown,Back,30.0,12,,,,""
2022-03-19,Lat Pulldown,Back,30.0,12,,,,""
2022-03-19,Flat Barbell Bench Press,Chest,20.0,8,,,,""
2022-03-19,Flat Barbell Bench Press,Chest,20.0,8,,,,""
2022-03-19,Flat Barbell Bench Press,Chest,30.0,5,,,,""
2022-03-19,Flat Barbell Bench Press,Chest,40.0,8,,,,""
2022-03-19,Flat Barbell Bench Press,Chest,40.0,8,,,,""
2022-03-19,Flat Barbell Bench Press,Chest,40.0,8,,,,""
2022-03-19,Flat Barbell Bench Press,Chest,45.0,5,,,,""
2022-03-19,Flat Barbell Bench Press,Chest,50.0,5,,,,""
2022-03-19,Overhand Barbell Rows,Back,20.0,8,,,,""
2022-03-19,Overhand Barbell Rows,Back,40.0,12,,,,""
2022-03-19,Overhand Barbell Rows,Back,40.0,12,,,,""
2022-03-19,Overhand Barbell Rows,Back,40.0,12,,,,""
2022-03-19,Overhand Barbell Rows,Back,40.0,12,,,,""
2022-03-19,Incline Dumbbell Bench Press,Chest,12.5,15,,,,""
2022-03-19,Incline Dumbbell Bench Press,Chest,15.0,12,,,,""
2022-03-19,Incline Dumbbell Bench Press,Chest,15.0,12,,,,""
2022-03-20,Front Incline Barbell Curl,Biceps,15.0,12,,,,""
2022-03-20,Front Incline Barbell Curl,Biceps,15.0,12,,,,""
2022-03-20,Front Incline Barbell Curl,Biceps,15.0,12,,,,""
2022-03-20,Cable Overhead Triceps Extension,Triceps,5.0,15,,,,""
2022-03-20,Cable Overhead Triceps Extension,Triceps,5.0,15,,,,""
2022-03-23,Overhead Press,Shoulders,20.0,12,,,,""
2022-03-23,Overhead Press,Shoulders,20.0,12,,,,""
2022-03-23,Overhead Press,Shoulders,30.0,5,,,,""
2022-03-23,Overhead Press,Shoulders,32.5,5,,,,""
2022-03-23,Overhead Press,Shoulders,32.5,5,,,,""
2022-03-23,Overhead Press,Shoulders,32.5,5,,,,""
2022-03-23,Chin Up,Back,0.0,5,,,,""
2022-03-23,Chin Up,Back,0.0,5,,,,""
2022-03-23,Chin Up,Back,0.0,6,,,,""
2022-03-23,Barbell Squat,Legs,20.0,8,,,,""
2022-03-23,Barbell Squat,Legs,20.0,8,,,,""
2022-03-23,Barbell Squat,Legs,40.0,5,,,,""
2022-03-23,Barbell Squat,Legs,40.0,6,,,,""
2022-04-11,Flat Barbell Bench Press,Chest,30.0,12,,,,""
2022-04-11,Flat Barbell Bench Press,Chest,40.0,5,,,,""
2022-04-11,Flat Barbell Bench Press,Chest,45.0,5,,,,""
2022-04-11,Flat Barbell Bench Press,Chest,45.0,5,,,,""
2022-04-11,Flat Barbell Bench Press,Chest,45.0,8,,,,""
2022-04-11,Underhand Barbell Rows,Back,20.0,12,,,,""
2022-04-11,Underhand Barbell Rows,Back,40.0,8,,,,""
2022-04-11,Underhand Barbell Rows,Back,50.0,5,,,,""
2022-04-11,Underhand Barbell Rows,Back,50.0,5,,,,""
2022-04-11,Underhand Barbell Rows,Back,50.0,8,,,,""
2022-04-11,Barbell Squat,Legs,20.0,8,,,,""
2022-04-11,Barbell Squat,Legs,40.0,5,,,,""
2022-04-11,Barbell Squat,Legs,50.0,5,,,,"high bar - bar on top of traps not super comft yet"
2022-04-11,Barbell Squat,Legs,50.0,5,,,,""
2022-04-11,Barbell Squat,Legs,50.0,5,,,,""
2022-04-13,Overhead Press,Shoulders,20.0,12,,,,""
2022-04-13,Overhead Press,Shoulders,30.0,3,,,,""
2022-04-13,Overhead Press,Shoulders,35.0,5,,,,"felt shaky/weak - RPE 8.5"
2022-04-13,Overhead Press,Shoulders,35.0,5,,,,"RPE 9.5"
2022-04-13,Overhead Press,Shoulders,35.0,5,,,,""
2022-04-13,Overhead Press,Shoulders,30.0,6,,,,"messed up breathing last rep, could have done 8 possibly..."
2022-04-13,Chin Up,Back,0.0,5,,,,"Use the Smith machine - must better on wrists"
2022-04-13,Chin Up,Back,0.0,5,,,,""
2022-04-13,Chin Up,Back,0.0,8,,,,"last 2 reps RPE 8"
2022-04-13,Deadlift,Back,60.0,5,,,,""
2022-04-13,Deadlift,Back,60.0,5,,,,""
2022-04-13,Deadlift,Back,70.0,5,,,,""
2022-04-15,Flat Barbell Bench Press,Chest,30.0,12,,,,""
2022-04-15,Flat Barbell Bench Press,Chest,40.0,5,,,,""
2022-04-15,Flat Barbell Bench Press,Chest,45.0,3,,,,""
2022-04-15,Flat Barbell Bench Press,Chest,47.5,5,,,,"RPE 6"
2022-04-15,Flat Barbell Bench Press,Chest,47.5,5,,,,"RPE 7 (form - closer to sternum or clavicle?)"
2022-04-15,Flat Barbell Bench Press,Chest,47.5,8,,,,"RPE 7.5"
2022-04-15,Underhand Barbell Rows,Back,35.0,12,,,,""
2022-04-15,Underhand Barbell Rows,Back,47.5,5,,,,""
2022-04-15,Underhand Barbell Rows,Back,47.5,8,,,,""
2022-04-15,Underhand Barbell Rows,Back,47.5,10,,,,""
2022-04-15,Underhand Barbell Rows,Back,52.5,5,,,,""
2022-04-15,Barbell Squat,Legs,20.0,8,,,,""
2022-04-15,Barbell Squat,Legs,40.0,5,,,,""
2022-04-15,Barbell Squat,Legs,50.0,3,,,,""
2022-04-15,Barbell Squat,Legs,55.0,5,,,,""
2022-04-15,Barbell Squat,Legs,55.0,5,,,,""
2022-04-15,Barbell Squat,Legs,55.0,8,,,,""
2022-04-18,Overhead Press,Shoulders,20.0,8,,,,""
2022-04-18,Overhead Press,Shoulders,20.0,8,,,,""
2022-04-18,Overhead Press,Shoulders,30.0,5,,,,""
2022-04-18,Overhead Press,Shoulders,35.0,5,,,,""
2022-04-18,Overhead Press,Shoulders,35.0,6,,,,"failed a 7th rep, breathing felt out of rhythm though"
2022-04-18,Chin Up,Back,0.0,5,,,,""
2022-04-18,Chin Up,Back,2.5,5,,,,""
2022-04-18,Chin Up,Back,2.5,5,,,,""
2022-04-18,Chin Up,Back,2.5,7,,,,"last rep was sloppy grind"
2022-04-18,Barbell Squat,Legs,20.0,8,,,,""
2022-04-18,Barbell Squat,Legs,40.0,5,,,,""
2022-04-18,Barbell Squat,Legs,50.0,5,,,,""
2022-04-18,Barbell Squat,Legs,57.5,5,,,,""
2022-04-18,Barbell Squat,Legs,57.5,5,,,,""
2022-04-20,Flat Barbell Bench Press,Chest,20.0,8,,,,""
2022-04-20,Flat Barbell Bench Press,Chest,30.0,8,,,,""
2022-04-20,Flat Barbell Bench Press,Chest,40.0,5,,,,""
2022-04-20,Flat Barbell Bench Press,Chest,40.0,6,,,,""
2022-04-20,Flat Barbell Bench Press,Chest,50.0,5,,,,""
2022-04-20,Flat Barbell Bench Press,Chest,50.0,5,,,,""
2022-04-20,Flat Barbell Bench Press,Chest,50.0,8,,,,""
2022-04-20,Underhand Barbell Rows,Back,40.0,8,,,,""
2022-04-20,Underhand Barbell Rows,Back,50.0,3,,,,""
2022-04-20,Underhand Barbell Rows,Back,55.0,5,,,,""
2022-04-20,Underhand Barbell Rows,Back,55.0,5,,,,""
2022-04-20,Underhand Barbell Rows,Back,55.0,8,,,,""
2022-04-20,Deadlift,Back,60.0,5,,,,""
2022-04-20,Deadlift,Back,70.0,5,,,,""
2022-04-20,Deadlift,Back,80.0,5,,,,""
2022-04-22,Overhead Press,Shoulders,20.0,8,,,,""
2022-04-22,Overhead Press,Shoulders,30.0,5,,,,""
2022-04-22,Overhead Press,Shoulders,37.5,5,,,,""
2022-04-22,Overhead Press,Shoulders,37.5,5,,,,""
2022-04-22,Overhead Press,Shoulders,37.5,6,,,,""
