Date,Time,Measurement,Value,Unit,Comment
2022-05-07,10:16:08,Bodyweight,68.3,kgs,""
2023-01-31,16:55:59,Bodyweight,75.0,kgs,""
2023-02-01,20:04:50,Bodyweight,75.5,kgs,""
2023-02-02,07:47:03,Bodyweight,75.2,kgs,""
2023-02-03,08:38:44,Bodyweight,75.5,kgs,""
2023-02-04,06:28:28,Bodyweight,75.8,kgs,""
2023-02-05,06:35:25,Bodyweight,76.2,kgs,"yesterday late just fry + Korean food + beer"
2023-02-07,10:41:34,Bodyweight,75.8,kgs,""
2023-02-08,08:49:27,Bodyweight,75.9,kgs,""
2023-02-10,14:45:41,Bodyweight,76.4,kgs,""
2023-02-12,06:25:06,Bodyweight,76.4,kgs,""
2023-02-19,08:05:45,Bodyweight,77.1,kgs,"prob bloated, had a big late meal of pizza and chips"
2023-03-01,20:04:16,Bodyweight,77.2,kgs,""
2023-03-07,15:13:18,Bodyweight,77.3,kgs,""
2023-03-13,12:58:58,Bodyweight,78.2,kgs,""
2023-03-20,06:41:08,Bodyweight,78.4,kgs,""
